기능,파일,줄,현재값,종류,권장토큰,분류,ΔE,코드
_components(공통),src/components/feedback/ComingSoonScreen.tsx,48,#F1F1F1,hex,neutralGray,유사색-확인필요,1.9,"borderBottomColor: '#F1F1F1',"
_components(공통),src/components/feedback/ComingSoonScreen.tsx,83,#FFF1EA,hex,primarySoft,유사색-확인필요,1.0,"backgroundColor: '#FFF1EA',"
auth,src/features/auth/components/AuthBrand.tsx,54,#A95620,hex,orangeIcon,토큰없음,26.3,"color: '#A95620',"
auth,src/features/auth/components/AuthBrand.tsx,64,#A45A2A,hex,orangeIcon,토큰없음,29.3,"color: '#A45A2A',"
auth,src/features/auth/components/ChoiceChip.tsx,26,#18967C,hex,secondary,토큰없음,11.6,{icon && <Ionicons color={selected ? '#18967C' : '#55504D'} name={icon} size={20} />}
auth,src/features/auth/components/ChoiceChip.tsx,26,#55504D,hex,textPrimary,토큰없음,13.5,{icon && <Ionicons color={selected ? '#18967C' : '#55504D'} name={icon} size={20} />}
auth,src/features/auth/components/ChoiceChip.tsx,36,#E6E4E2,hex,divider,유사색-확인필요,1.3,"borderColor: '#E6E4E2',"
auth,src/features/auth/components/ChoiceChip.tsx,49,#EEFBF7,hex,mintBg,유사색-확인필요,1.4,"backgroundColor: '#EEFBF7',"
auth,src/features/auth/components/ChoiceChip.tsx,50,#45BFA4,hex,mintIcon,근접-판단필요,6.2,"borderColor: '#45BFA4',"
auth,src/features/auth/components/ChoiceChip.tsx,56,#4F4B48,hex,textPrimary,토큰없음,11.2,"color: '#4F4B48',"
auth,src/features/auth/components/ChoiceChip.tsx,61,#168F77,hex,secondary,토큰없음,14.1,"color: '#168F77',"
auth,src/features/auth/components/FormField.tsx,26,#929292,hex,iconGray,근접-판단필요,6.5,"<Ionicons color=""#929292"" name={icon} size={21} />"
auth,src/features/auth/components/FormField.tsx,29,#A7A7A7,hex,textTertiary,근접-판단필요,5.3,"placeholderTextColor=""#A7A7A7"""
auth,src/features/auth/components/FormField.tsx,41,#929292,hex,iconGray,근접-판단필요,6.5,"color=""#929292"""
auth,src/features/auth/components/FormField.tsx,60,#E4E1DE,hex,divider,유사색-확인필요,2.3,"borderColor: '#E4E1DE',"
auth,src/features/auth/components/LogoutConfirmModal.tsx,59,"rgba(0, 0, 0, 0.48)",rgba,—,투명도 포함 — 토큰화 대상 아님(오버레이),,"overlay: { alignItems: 'center', backgroundColor: 'rgba(0, 0, 0, 0.48)', flex: 1, justifyContent: 'center', padding: spacing.md },"
auth,src/features/auth/components/PrimaryButton.tsx,17,#FFFFFF,hex,background,정확일치,0.0,"{icon && <Ionicons color=""#FFFFFF"" name={icon} size={22} />}"
auth,src/features/auth/components/PrimaryButton.tsx,25,#FF7B22,hex,primary,토큰없음,14.6,"backgroundColor: '#FF7B22',"
auth,src/features/auth/components/PrimaryButton.tsx,37,#FFFFFF,hex,background,정확일치,0.0,"color: '#FFFFFF',"
auth,src/features/auth/components/SignupProgress.tsx,40,#E9E7E5,hex,divider,유사색-확인필요,1.5,"backgroundColor: '#E9E7E5',"
auth,src/features/auth/components/SignupProgress.tsx,67,#F0EFEE,hex,border,유사색-확인필요,1.7,"backgroundColor: '#F0EFEE',"
auth,src/features/auth/components/SignupProgress.tsx,68,#F0EFEE,hex,border,유사색-확인필요,1.7,"borderColor: '#F0EFEE',"
auth,src/features/auth/components/SignupProgress.tsx,76,#FFF3EA,hex,orangeBg,정확일치,0.0,"backgroundColor: '#FFF3EA',"
auth,src/features/auth/components/SignupProgress.tsx,80,#A9A7A5,hex,textTertiary,근접-판단필요,4.1,"color: '#A9A7A5',"
auth,src/features/auth/components/SignupProgress.tsx,88,#999693,hex,textTertiary,근접-판단필요,6.2,"color: '#999693',"
auth,src/features/auth/components/WithdrawConfirmModal.tsx,74,"rgba(0, 0, 0, 0.48)",rgba,—,투명도 포함 — 토큰화 대상 아님(오버레이),,"overlay: { alignItems: 'center', backgroundColor: 'rgba(0, 0, 0, 0.48)', flex: 1, justifyContent: 'center', padding: spacing.md },"
auth,src/features/auth/screens/LoginScreen.tsx,25,#03C75A,hex,—,제외-브랜드컬러,24.8,"{ label: '네이버', shortLabel: 'N', backgroundColor: '#03C75A', textColor: '#FFFFFF' },"
auth,src/features/auth/screens/LoginScreen.tsx,25,#FFFFFF,hex,background,정확일치,0.0,"{ label: '네이버', shortLabel: 'N', backgroundColor: '#03C75A', textColor: '#FFFFFF' },"
auth,src/features/auth/screens/LoginScreen.tsx,26,#FEE500,hex,—,제외-브랜드컬러,37.7,"{ label: '카카오', shortLabel: '●', backgroundColor: '#FEE500', textColor: '#191919' },"
auth,src/features/auth/screens/LoginScreen.tsx,26,#191919,hex,—,제외-브랜드컬러,11.7,"{ label: '카카오', shortLabel: '●', backgroundColor: '#FEE500', textColor: '#191919' },"
auth,src/features/auth/screens/LoginScreen.tsx,27,#FFFFFF,hex,background,정확일치,0.0,"{ label: '구글', shortLabel: 'G', backgroundColor: '#FFFFFF', textColor: '#4285F4' },"
auth,src/features/auth/screens/LoginScreen.tsx,27,#4285F4,hex,—,제외-브랜드컬러,64.0,"{ label: '구글', shortLabel: 'G', backgroundColor: '#FFFFFF', textColor: '#4285F4' },"
auth,src/features/auth/screens/LoginScreen.tsx,110,#FFFFFF,hex,background,정확일치,0.0,"{remember && <Ionicons color=""#FFFFFF"" name=""checkmark"" size={13} />}"
auth,src/features/auth/screens/LoginScreen.tsx,161,#FFFFFF,hex,background,정확일치,0.0,"safeArea: { backgroundColor: '#FFFFFF', flex: 1 },"
auth,src/features/auth/screens/LoginScreen.tsx,181,#D8D4D0,hex,divider,근접-판단필요,6.4,"borderColor: '#D8D4D0',"
auth,src/features/auth/screens/LoginScreen.tsx,189,#66615E,hex,textSecondary,토큰없음,10.1,"optionText: { color: '#66615E', fontSize: 13 },"
auth,src/features/auth/screens/LoginScreen.tsx,191,#EEEAE7,hex,border,유사색-확인필요,1.9,"divider: { backgroundColor: '#EEEAE7', flex: 1, height: 1 },"
auth,src/features/auth/screens/LoginScreen.tsx,192,#8B8784,hex,iconGray,근접-판단필요,4.7,"dividerText: { color: '#8B8784', fontSize: 12 },"
auth,src/features/auth/screens/LoginScreen.tsx,196,#E6E2DF,hex,divider,유사색-확인필요,2.3,"borderColor: '#E6E2DF',"
auth,src/features/auth/screens/LoginScreen.tsx,207,#F1E8E1,hex,basaltSoft,유사색-확인필요,3.4,"borderColor: '#F1E8E1',"
auth,src/features/auth/screens/LoginScreen.tsx,216,#5D5855,hex,textSecondary,토큰없음,13.7,"signupPromptText: { color: '#5D5855', fontSize: 14 },"
auth,src/features/auth/screens/SignupScreen.tsx,308,#77726E,hex,textSecondary,근접-판단필요,4.2,"<Ionicons color=""#77726E"" name=""location-outline"" size={21} />"
auth,src/features/auth/screens/SignupScreen.tsx,317,#AAA6A2,hex,textTertiary,유사색-확인필요,2.9,"placeholderTextColor=""#AAA6A2"""
auth,src/features/auth/screens/SignupScreen.tsx,357,#C7C3BF,hex,textTertiary,토큰없음,11.9,color={data.travel.companions <= 1 ? '#C7C3BF' : colors.textPrimary}
auth,src/features/auth/screens/SignupScreen.tsx,384,#FF932F,hex,orangeIcon,토큰없음,15.3,"<Ionicons color=""#FF932F"" name=""sunny"" size={28} />"
auth,src/features/auth/screens/SignupScreen.tsx,390,#3DAE86,hex,secondary,유사색-확인필요,3.1,"<Ionicons color=""#3DAE86"" name=""paw"" size={34} />"
auth,src/features/auth/screens/SignupScreen.tsx,439,#EA9C53,hex,orangeIcon,토큰없음,17.6,"<Ionicons color=""#EA9C53"" name=""shield-checkmark-outline"" size={27} />"
auth,src/features/auth/screens/SignupScreen.tsx,445,#FF9B68,hex,orangeIcon,토큰없음,12.5,"<Ionicons color=""#FF9B68"" name=""heart"" size={22} />"
auth,src/features/auth/screens/SignupScreen.tsx,452,#FFFFFF,hex,background,정확일치,0.0,"safeArea: { backgroundColor: '#FFFFFF', flex: 1 },"
auth,src/features/auth/screens/SignupScreen.tsx,465,#8A8581,hex,iconGray,근접-판단필요,4.9,"terms: { color: '#8A8581', fontSize: 11, lineHeight: 18, marginTop: 13, textAlign: 'center' },"
auth,src/features/auth/screens/SignupScreen.tsx,469,#FFF9F1,hex,orangeBg,유사색-확인필요,2.8,"backgroundColor: '#FFF9F1',"
auth,src/features/auth/screens/SignupScreen.tsx,470,#F5E8D9,hex,primarySoft,근접-판단필요,4.6,"borderColor: '#F5E8D9',"
auth,src/features/auth/screens/SignupScreen.tsx,481,#FFF0DE,hex,primarySoft,근접-판단필요,4.6,"backgroundColor: '#FFF0DE',"
auth,src/features/auth/screens/SignupScreen.tsx,488,#544D48,hex,textPrimary,토큰없음,12.8,"infoTitle: { color: '#544D48', fontSize: 13, fontWeight: '800' },"
auth,src/features/auth/screens/SignupScreen.tsx,489,#8B837D,hex,textSecondary,근접-판단필요,6.2,"infoText: { color: '#8B837D', fontSize: 11, marginTop: 4 },"
auth,src/features/auth/screens/SignupScreen.tsx,492,#99938F,hex,textTertiary,근접-판단필요,6.7,"optional: { color: '#99938F', fontSize: 12, fontWeight: '500' },"
auth,src/features/auth/screens/SignupScreen.tsx,496,#FFFFFF,hex,background,정확일치,0.0,"backgroundColor: '#FFFFFF',"
auth,src/features/auth/screens/SignupScreen.tsx,497,#E7E4E1,hex,divider,유사색-확인필요,1.9,"borderColor: '#E7E4E1',"
auth,src/features/auth/screens/SignupScreen.tsx,507,#EEFBF7,hex,mintBg,유사색-확인필요,1.4,"petTypeCardSelected: { backgroundColor: '#EEFBF7', borderColor: '#45BFA4' },"
auth,src/features/auth/screens/SignupScreen.tsx,507,#45BFA4,hex,mintIcon,근접-판단필요,6.2,"petTypeCardSelected: { backgroundColor: '#EEFBF7', borderColor: '#45BFA4' },"
auth,src/features/auth/screens/SignupScreen.tsx,509,#514C48,hex,textPrimary,토큰없음,11.9,"petLabel: { color: '#514C48', fontSize: 12, fontWeight: '700' },"
auth,src/features/auth/screens/SignupScreen.tsx,510,#168F77,hex,secondary,토큰없음,14.1,"petLabelSelected: { color: '#168F77' },"
auth,src/features/auth/screens/SignupScreen.tsx,515,#99938F,hex,textTertiary,근접-판단필요,6.7,"optionalHint: { color: '#99938F', fontSize: 12, textAlign: 'center' },"
auth,src/features/auth/screens/SignupScreen.tsx,518,#E6E3E0,hex,divider,유사색-확인필요,2.0,"borderColor: '#E6E3E0',"
auth,src/features/auth/screens/SignupScreen.tsx,533,#77716D,hex,textSecondary,근접-판단필요,4.7,"counterDescription: { color: '#77716D', fontSize: 13 },"
auth,src/features/auth/screens/SignupScreen.tsx,536,#E4E0DD,hex,divider,유사색-확인필요,2.6,"borderColor: '#E4E0DD',"
auth,src/features/auth/screens/SignupScreen.tsx,546,#EAF9F4,hex,mintBg,유사색-확인필요,2.0,"backgroundColor: '#EAF9F4',"
auth,src/features/auth/screens/SignupScreen.tsx,555,#FFF8E8,hex,orangeBg,근접-판단필요,4.1,"backgroundColor: '#FFF8E8',"
auth,src/features/auth/screens/SignupScreen.tsx,562,#248F77,hex,secondary,토큰없음,13.9,"bannerTitle: { color: '#248F77', fontSize: 13, fontWeight: '800' },"
auth,src/features/auth/screens/SignupScreen.tsx,563,#4A8B7C,hex,mintIcon,토큰없음,18.6,"bannerText: { color: '#4A8B7C', fontSize: 11, lineHeight: 17, marginTop: 3 },"
chatbot,src/features/chatbot/components/ChatMapResponse.tsx,104,#F0E5DF,hex,basaltSoft,근접-판단필요,4.4,"borderColor: '#F0E5DF',"
chatbot,src/features/chatbot/components/ChatMapResponse.tsx,107,#64351E,hex,basalt,토큰없음,28.5,"shadowColor: '#64351E',"
chatbot,src/features/chatbot/components/ChatMapResponse.tsx,139,#FFF3EA,hex,orangeBg,정확일치,0.0,"backgroundColor: '#FFF3EA',"
chatbot,src/features/chatbot/components/ChatMapResponse.tsx,151,#FFF8F3,hex,orangeBg,유사색-확인필요,3.1,"backgroundColor: '#FFF8F3',"
chatbot,src/features/chatbot/components/ChatMapResponse.tsx,159,#F4D8C8,hex,primarySoft,토큰없음,10.3,"borderColor: '#F4D8C8',"
chatbot,src/features/chatbot/components/ChatMapResponse.tsx,161,#FFF8F3,hex,orangeBg,유사색-확인필요,3.1,"backgroundColor: '#FFF8F3',"
chatbot,src/features/chatbot/components/ChatMapResponse.tsx,169,#FFE9DB,hex,primarySoft,근접-판단필요,4.6,"backgroundColor: '#FFE9DB',"
chatbot,src/features/chatbot/components/ChatMapResponse.tsx,209,#4F4A47,hex,textPrimary,토큰없음,11.0,"color: '#4F4A47',"
chatbot,src/features/chatbot/screens/ChatbotScreen.tsx,72,#9B9692,hex,textTertiary,근접-판단필요,5.8,"placeholderTextColor=""#9B9692"""
chatbot,src/features/chatbot/screens/ChatbotScreen.tsx,236,#A7A29E,hex,textTertiary,유사색-확인필요,2.8,"<Ionicons color=""#A7A29E"" name=""chevron-forward"" size={19} />"
chatbot,src/features/chatbot/screens/ChatbotScreen.tsx,353,#FFDCC8,hex,primarySoft,토큰없음,11.7,"borderColor: '#FFDCC8',"
chatbot,src/features/chatbot/screens/ChatbotScreen.tsx,357,#FFF3EA,hex,orangeBg,정확일치,0.0,"backgroundColor: '#FFF3EA',"
chatbot,src/features/chatbot/screens/ChatbotScreen.tsx,380,#F0E5DF,hex,basaltSoft,근접-판단필요,4.4,"borderColor: '#F0E5DF',"
chatbot,src/features/chatbot/screens/ChatbotScreen.tsx,382,#FFF8F3,hex,orangeBg,유사색-확인필요,3.1,"backgroundColor: '#FFF8F3',"
chatbot,src/features/chatbot/screens/ChatbotScreen.tsx,406,#F0EAE6,hex,basaltSoft,유사색-확인필요,2.1,"borderTopColor: '#F0EAE6',"
chatbot,src/features/chatbot/screens/ChatbotScreen.tsx,432,#E7E2DE,hex,divider,유사색-확인필요,2.8,"borderColor: '#E7E2DE',"
chatbot,src/features/chatbot/screens/ChatbotScreen.tsx,435,#64351E,hex,basalt,토큰없음,28.5,"shadowColor: '#64351E',"
chatbot,src/features/chatbot/screens/ChatbotScreen.tsx,456,#D9D4D0,hex,divider,근접-판단필요,6.4,"backgroundColor: '#D9D4D0',"
chatbot,src/features/chatbot/screens/ChatbotScreen.tsx,464,#A09A96,hex,textTertiary,근접-판단필요,4.5,"color: '#A09A96',"
chatbot,src/features/chatbot/screens/ChatbotScreen.tsx,483,#FFF3EA,hex,orangeBg,정확일치,0.0,"backgroundColor: '#FFF3EA',"
chatbot,src/features/chatbot/screens/ChatbotScreen.tsx,502,#EEE8E4,hex,basaltSoft,유사색-확인필요,2.6,"borderColor: '#EEE8E4',"
chatbot,src/features/chatbot/screens/ChatbotScreen.tsx,505,#64351E,hex,basalt,토큰없음,28.5,"shadowColor: '#64351E',"
chatbot,src/features/chatbot/screens/ChatbotScreen.tsx,517,#FFF3EA,hex,orangeBg,정확일치,0.0,"backgroundColor: '#FFF3EA',"
chatbot,src/features/chatbot/screens/ChatbotScreen.tsx,521,#4F4A47,hex,textPrimary,토큰없음,11.0,"color: '#4F4A47',"
home,src/features/home/components/ContentRecommendation.tsx,31,#353535,hex,textPrimary,유사색-확인필요,0.9,"<Ionicons color=""#353535"" name=""chevron-forward"" size={16} />"
home,src/features/home/components/ContentRecommendation.tsx,52,#D5D5D5,hex,divider,근접-판단필요,5.7,"backgroundColor: '#D5D5D5',"
home,src/features/home/components/ContentRecommendation.tsx,69,"rgba(0,0,0,0.24)",rgba,—,투명도 포함 — 토큰화 대상 아님(오버레이),,"backgroundColor: 'rgba(0,0,0,0.24)',"
home,src/features/home/components/ContentRecommendation.tsx,73,#FFFFFF,hex,background,정확일치,0.0,"color: '#FFFFFF',"
home,src/features/home/components/ContentRecommendation.tsx,77,"rgba(0,0,0,0.28)",rgba,—,투명도 포함 — 토큰화 대상 아님(오버레이),,"textShadowColor: 'rgba(0,0,0,0.28)',"
home,src/features/home/components/ContentRecommendation.tsx,88,"rgba(255,255,255,0.94)",rgba,—,투명도 포함 — 토큰화 대상 아님(오버레이),,"backgroundColor: 'rgba(255,255,255,0.94)',"
home,src/features/home/components/QuickMenu.tsx,59,#F0F0F0,hex,border,유사색-확인필요,2.2,"borderColor: '#F0F0F0',"
home,src/features/home/components/RegionalRecommendation.tsx,64,#E5F3F1,hex,seaSoft,유사색-확인필요,2.5,"borderColor: '#E5F3F1',"
home,src/features/home/components/RegionalRecommendation.tsx,66,#F3FCFC,hex,mintBg,유사색-확인필요,2.2,"backgroundColor: '#F3FCFC',"
home,src/features/home/components/RegionalRecommendation.tsx,71,#F3FCFC,hex,mintBg,유사색-확인필요,2.2,"backgroundColor: '#F3FCFC',"
home,src/features/home/components/RegionalRecommendation.tsx,96,"rgba(255,122,69,0.22)",rgba,—,투명도 포함 — 토큰화 대상 아님(오버레이),,"borderColor: 'rgba(255,122,69,0.22)',"
home,src/features/home/components/RegionalRecommendation.tsx,98,"rgba(255,255,255,0.9)",rgba,—,투명도 포함 — 토큰화 대상 아님(오버레이),,"backgroundColor: 'rgba(255,255,255,0.9)',"
home,src/features/home/components/RegionalRecommendation.tsx,99,#4D321F,hex,basalt,토큰없음,17.1,"shadowColor: '#4D321F',"
home,src/features/home/components/WeatherHero.tsx,44,#2F715F,hex,iconGray,토큰없음,25.6,"<Ionicons color=""#2F715F"" name=""leaf-outline"" size={14} />"
home,src/features/home/components/WeatherHero.tsx,68,#552610,hex,basalt,토큰없음,28.8,"shadowColor: '#552610',"
home,src/features/home/components/WeatherHero.tsx,89,"rgba(255,255,255,0.17)",rgba,—,투명도 포함 — 토큰화 대상 아님(오버레이),,"backgroundColor: 'rgba(255,255,255,0.17)',"
home,src/features/home/components/WeatherHero.tsx,103,#222222,hex,basalt,근접-판단필요,7.5,"color: '#222222',"
home,src/features/home/components/WeatherHero.tsx,108,#333333,hex,textPrimary,정확일치,0.0,"color: '#333333',"
home,src/features/home/components/WeatherHero.tsx,118,#171717,hex,basalt,토큰없음,12.7,"color: '#171717',"
home,src/features/home/components/WeatherHero.tsx,124,#343434,hex,textPrimary,정확일치,0.5,"color: '#343434',"
home,src/features/home/components/WeatherHero.tsx,130,#3E5962,hex,textPrimary,토큰없음,18.7,"color: '#3E5962',"
home,src/features/home/components/WeatherHero.tsx,143,"rgba(255,255,255,0.88)",rgba,—,투명도 포함 — 토큰화 대상 아님(오버레이),,"backgroundColor: 'rgba(255,255,255,0.88)',"
home,src/features/home/components/WeatherHero.tsx,147,#42655C,hex,textSecondary,토큰없음,18.6,"color: '#42655C',"
home,src/features/home/data/homeMockData.ts,20,#138A78,hex,secondary,토큰없음,17.4,"iconColor: '#138A78',"
home,src/features/home/data/homeMockData.ts,21,#E4F7F2,hex,seaSoft,유사색-확인필요,1.4,"iconBackgroundColor: '#E4F7F2',"
home,src/features/home/data/homeMockData.ts,29,#E56E45,hex,primary,토큰없음,10.6,"iconColor: '#E56E45',"
home,src/features/home/data/homeMockData.ts,30,#FFF0E9,hex,primarySoft,유사색-확인필요,1.1,"iconBackgroundColor: '#FFF0E9',"
home,src/features/home/data/homeMockData.ts,38,#E5A421,hex,warning,근접-판단필요,6.6,"iconColor: '#E5A421',"
home,src/features/home/data/homeMockData.ts,39,#FFF7DC,hex,leafSoft,근접-판단필요,8.4,"iconBackgroundColor: '#FFF7DC',"
home,src/features/home/data/homeMockData.ts,47,#5187D4,hex,textSecondary,토큰없음,45.6,"iconColor: '#5187D4',"
home,src/features/home/data/homeMockData.ts,48,#EAF2FF,hex,neutralGray,근접-판단필요,8.2,"iconBackgroundColor: '#EAF2FF',"
home,src/features/home/screens/HomeScreen.tsx,129,#F0E5DF,hex,basaltSoft,근접-판단필요,4.4,"borderColor: '#F0E5DF',"
home,src/features/home/screens/HomeScreen.tsx,133,#FFF8F3,hex,orangeBg,유사색-확인필요,3.1,"backgroundColor: '#FFF8F3',"
inquiries,src/features/inquiries/components/InquiryFilterTabs.tsx,45,transparent,named,—,투명값,,"backgroundColor: 'transparent',"
inquiries,src/features/inquiries/components/InquiryPhotoPicker.tsx,84,"rgba(0, 0, 0, 0.5)",rgba,—,투명도 포함 — 토큰화 대상 아님(오버레이),,"backgroundColor: 'rgba(0, 0, 0, 0.5)',"
places,src/features/places/components/InteractivePlaceMap.tsx,44,#188F7B,hex,secondary,토큰없음,15.3,"<Ionicons color=""#188F7B"" name=""map-outline"" size={32} />"
places,src/features/places/components/InteractivePlaceMap.tsx,61,#DCEEEB,hex,seaSoft,유사색-확인필요,2.4,"borderColor: '#DCEEEB',"
places,src/features/places/components/InteractivePlaceMap.tsx,63,#EEF8F7,hex,mintBg,유사색-확인필요,1.0,"backgroundColor: '#EEF8F7',"
places,src/features/places/components/InteractivePlaceMap.tsx,73,"rgba(255,255,255,0.94)",rgba,—,투명도 포함 — 토큰화 대상 아님(오버레이),,"backgroundColor: 'rgba(255,255,255,0.94)',"
places,src/features/places/components/InteractivePlaceMap.tsx,74,#000000,hex,basalt,토큰없음,20.3,"shadowColor: '#000000',"
places,src/features/places/components/InteractivePlaceMap.tsx,98,#DCEEEB,hex,seaSoft,유사색-확인필요,2.4,"borderColor: '#DCEEEB',"
places,src/features/places/components/InteractivePlaceMap.tsx,100,#F3FBFA,hex,mintBg,유사색-확인필요,1.8,"backgroundColor: '#F3FBFA',"
places,src/features/places/components/InteractivePlaceMap.tsx,109,#E0F4F0,hex,seaSoft,유사색-확인필요,0.7,"backgroundColor: '#E0F4F0',"
places,src/features/places/components/KakaoPlaceMap.native.tsx,30,#EEF8F7,hex,mintBg,유사색-확인필요,1.0,"backgroundColor: '#EEF8F7',"
places,src/features/places/components/KakaoPlaceMap.web.tsx,19,#EEF8F7,hex,mintBg,유사색-확인필요,1.0,"backgroundColor: '#EEF8F7',"
places,src/features/places/components/buildKakaoMapDocument.ts,25,#EEF8F7,hex,mintBg,유사색-확인필요,1.0,"body { background: #eef8f7; font-family: -apple-system, BlinkMacSystemFont, ""Apple SD Gothic Neo"", sans-serif; }"
places,src/features/places/components/buildKakaoMapDocument.ts,34,#707070,hex,textSecondary,유사색-확인필요,4.0,color: #707070;
places,src/features/places/components/buildKakaoMapDocument.ts,37,#EEF8F7,hex,mintBg,유사색-확인필요,1.0,background: #eef8f7;
places,src/features/places/components/buildKakaoMapDocument.ts,40,#222,hex,basalt,근접-판단필요,7.5,.place-name { color: #222; font-size: 14px; font-weight: 800; }
places,src/features/places/components/buildKakaoMapDocument.ts,41,#707070,hex,textSecondary,유사색-확인필요,4.0,.place-address { margin-top: 4px; color: #707070; font-size: 11px; }
places,src/features/places/components/buildKakaoMapDocument.ts,47,#238871,hex,secondary,토큰없음,16.4,color: #238871;
places,src/features/places/components/buildKakaoMapDocument.ts,50,#E8F8F3,hex,seaSoft,유사색-확인필요,2.4,background: #e8f8f3;
places,src/features/places/screens/PlaceExplorerScreen.tsx,102,#8A8A8A,hex,iconGray,근접-판단필요,4.2,"<Ionicons color=""#8A8A8A"" name=""search-outline"" size={20} />"
places,src/features/places/screens/PlaceExplorerScreen.tsx,106,#9A9A9A,hex,textTertiary,근접-판단필요,6.5,"placeholderTextColor=""#9A9A9A"""
places,src/features/places/screens/PlaceExplorerScreen.tsx,113,#929292,hex,iconGray,근접-판단필요,6.5,"<Ionicons color=""#929292"" name=""close-circle"" size={19} />"
places,src/features/places/screens/PlaceExplorerScreen.tsx,170,#3D4A48,hex,textPrimary,토큰없음,10.7,color={isSelected ? colors.primary : '#3D4A48'}
places,src/features/places/screens/PlaceExplorerScreen.tsx,238,#535353,hex,textPrimary,토큰없음,14.1,<Ionicons color={isSelected ? colors.surface : '#535353'} name={icon} size={18} />
places,src/features/places/screens/PlaceExplorerScreen.tsx,272,#D7673D,hex,primary,토큰없음,14.0,"<Ionicons color=""#D7673D"" name=""paw"" size={10} />"
places,src/features/places/screens/PlaceExplorerScreen.tsx,291,#FF5A43,hex,primary,토큰없음,15.9,color={isFavorite ? '#FF5A43' : '#777777'}
places,src/features/places/screens/PlaceExplorerScreen.tsx,291,#777777,hex,textSecondary,유사색-확인필요,1.2,color={isFavorite ? '#FF5A43' : '#777777'}
places,src/features/places/screens/PlaceExplorerScreen.tsx,305,#B8B8B8,hex,textTertiary,근접-판단필요,9.0,"<Ionicons color=""#B8B8B8"" name=""search-outline"" size={34} />"
places,src/features/places/screens/PlaceExplorerScreen.tsx,324,#ECECEC,hex,border,유사색-확인필요,2.1,"borderBottomColor: '#ECECEC',"
places,src/features/places/screens/PlaceExplorerScreen.tsx,355,#DEDEDE,hex,divider,유사색-확인필요,2.5,"borderColor: '#DEDEDE',"
places,src/features/places/screens/PlaceExplorerScreen.tsx,357,#FFFFFF,hex,background,정확일치,0.0,"backgroundColor: '#FFFFFF',"
places,src/features/places/screens/PlaceExplorerScreen.tsx,379,#E5E5E5,hex,divider,정확일치,0.0,"borderColor: '#E5E5E5',"
places,src/features/places/screens/PlaceExplorerScreen.tsx,383,#FFFFFF,hex,background,정확일치,0.0,"backgroundColor: '#FFFFFF',"
places,src/features/places/screens/PlaceExplorerScreen.tsx,390,#555555,hex,textPrimary,토큰없음,14.9,"color: '#555555',"
places,src/features/places/screens/PlaceExplorerScreen.tsx,395,#FFFFFF,hex,background,정확일치,0.0,"color: '#FFFFFF',"
places,src/features/places/screens/PlaceExplorerScreen.tsx,412,#E9E9E9,hex,divider,유사색-확인필요,1.4,"borderColor: '#E9E9E9',"
places,src/features/places/screens/PlaceExplorerScreen.tsx,417,#FFFFFF,hex,background,정확일치,0.0,"backgroundColor: '#FFFFFF',"
places,src/features/places/screens/PlaceExplorerScreen.tsx,421,#FFF3EA,hex,orangeBg,정확일치,0.0,"backgroundColor: '#FFF3EA',"
places,src/features/places/screens/PlaceExplorerScreen.tsx,424,#565656,hex,textSecondary,토큰없음,14.7,"color: '#565656',"
places,src/features/places/screens/PlaceExplorerScreen.tsx,441,#F3F3F3,hex,neutralGray,유사색-확인필요,1.4,"backgroundColor: '#F3F3F3',"
places,src/features/places/screens/PlaceExplorerScreen.tsx,455,#4F4F4F,hex,textPrimary,토큰없음,12.4,"color: '#4F4F4F',"
places,src/features/places/screens/PlaceExplorerScreen.tsx,460,#FFFFFF,hex,background,정확일치,0.0,"color: '#FFFFFF',"
places,src/features/places/screens/PlaceExplorerScreen.tsx,475,#E5E5E5,hex,divider,정확일치,0.0,"borderBottomColor: '#E5E5E5',"
places,src/features/places/screens/PlaceExplorerScreen.tsx,484,#ECECEC,hex,border,유사색-확인필요,2.1,"backgroundColor: '#ECECEC',"
places,src/features/places/screens/PlaceExplorerScreen.tsx,514,#FFF1E9,hex,primarySoft,유사색-확인필요,0.5,"backgroundColor: '#FFF1E9',"
places,src/features/places/screens/PlaceExplorerScreen.tsx,517,#B85635,hex,error,토큰없음,24.5,"color: '#B85635',"
places,src/features/places/screens/PlaceExplorerScreen.tsx,527,#E8F8F3,hex,seaSoft,유사색-확인필요,2.4,"backgroundColor: '#E8F8F3',"
places,src/features/places/screens/PlaceExplorerScreen.tsx,530,#238871,hex,secondary,토큰없음,16.4,"color: '#238871',"
places,src/features/places/screens/PlaceExplorerScreen.tsx,541,#666666,hex,textSecondary,근접-판단필요,8.0,"color: '#666666',"
profile,src/features/profile/components/DiscardChangesModal.tsx,55,"rgba(0, 0, 0, 0.48)",rgba,—,투명도 포함 — 토큰화 대상 아님(오버레이),,"overlay: { alignItems: 'center', backgroundColor: 'rgba(0, 0, 0, 0.48)', flex: 1, justifyContent: 'center', padding: spacing.md },"
profile,src/features/profile/components/PetDeleteConfirmModal.tsx,72,"rgba(0, 0, 0, 0.48)",rgba,—,투명도 포함 — 토큰화 대상 아님(오버레이),,"overlay: { alignItems: 'center', backgroundColor: 'rgba(0, 0, 0, 0.48)', flex: 1, justifyContent: 'center', padding: spacing.md },"
